,Index,Pred,Class
0,0,0.000532996037934229,0
1,1,0.0009093499544189608,0
2,2,0.0006848087005006122,0
3,3,0.0005314590003026166,0
4,4,0.0005792437661647871,0
5,5,0.0005257368521033173,0
6,6,0.0005263326916087787,0
7,7,0.0005263731736551954,0
8,8,0.0005263550419331091,0
9,9,0.000721541058928227,0
10,10,0.0007552824993287921,0
11,11,0.0005733704314255153,0
12,12,0.0005271967286424947,0
13,13,0.0005756813325856231,0
14,14,0.0005756813325856231,0
15,15,0.0005499882027550148,0
16,16,0.0006697108404263525,0
17,17,0.0007043278317400376,0
18,18,0.0005283288102821749,0
19,19,0.0006143568180667426,0
20,20,0.0005266682946286214,0
21,21,0.0005544713340944473,0
22,22,0.0005270128027561546,0
23,23,0.0005617565767000223,0
24,24,0.0005301224857563399,0
25,25,0.0006437069305842212,0
26,26,0.0005280141445762879,0
27,27,0.0005806572113309901,0
28,28,0.000581538532827907,0
29,29,0.0006743580375015663,0
30,30,0.0005285206180573542,0
31,31,0.000526271550250686,0
32,32,0.0005262991122357099,0
33,33,0.0005289029356813825,0
34,34,0.0005384172456857273,0
35,35,0.0005266837558615292,0
36,36,0.0006290430556201154,0
37,37,0.0005258418638871211,0
38,38,0.0005728756514659409,0
39,39,0.0005257730624996018,0
40,40,0.0005418307299980624,0
41,41,0.0005289009887236159,0
42,42,0.0005264105151342228,0
43,43,0.0005371446002842681,0
44,44,0.000525858719260285,0
45,45,0.0006045952869931314,0
46,46,0.000526692727954624,0
47,47,0.0005263369632589109,0
48,48,0.0005265704622449027,0
49,49,0.0005454040599592643,0
50,50,0.0005257598267411339,0
51,51,0.0005256221677346329,0
52,52,0.0005278439540913851,0
53,53,0.0005263731736551954,0
54,54,0.0005424972199790224,0
55,55,0.0005269207043253209,0
56,56,0.0005273619247491201,0
57,57,0.0005257601572726489,0
58,58,0.0005264105151342228,0
59,59,0.0005263599378967274,0
60,60,0.0007215821561122391,0
61,61,0.0005263326916087787,0
62,62,0.0005396476757159166,0
63,63,0.0005339671053328361,0
64,64,0.0005268275016573967,0
65,65,0.0005266835257463545,0
66,66,0.000527232032801469,0
67,67,0.0006922773552210461,0
68,68,0.0005909120227180961,0
69,69,0.0005263550491280377,0
70,70,0.0005304362047582658,0
71,71,0.000575591038870857,0
72,72,0.0005513189447638238,0
73,73,0.0005262377741677792,0
74,74,0.0012187120412524958,0
75,75,0.0005298574207309824,0
76,76,0.0009441798798112328,0
77,77,0.0005270281773395622,0
78,78,0.000526751656723293,0
79,79,0.0005288414155042182,0
80,80,0.0005264237008036591,0
81,81,0.0005335296088535739,0
82,82,0.000526674997801474,0
83,83,0.0005265562458124031,0
