Index,Pred,Class
0,0.0001386977086589759,0
1,0.0005112508110962589,0
2,0.00016565029900360908,0
3,6.064509287970417e-05,0
4,0.00011046426498161799,0
5,1.6545634723041367e-05,0
6,4.641655611474087e-05,0
7,4.435760028633481e-05,0
8,4.1571780737767465e-05,0
9,0.0003777972290654167,0
10,0.0001817708018637408,0
11,3.2555580228771696e-05,0
12,0.00033625668592367024,0
13,0.0001040970743390002,0
14,0.0001040970743390002,0
15,4.239949242634213e-05,0
16,0.00019511454783785904,0
17,7.772303958888958e-05,0
18,4.269382537943309e-05,0
19,0.00033169057057368166,0
20,4.4816804501523816e-05,0
21,0.0002551653946152908,0
22,5.078178893072679e-05,0
23,2.099545688904037e-05,0
24,4.931249560989621e-05,0
25,0.00029139761711183883,0
26,8.559583041197105e-05,0
27,7.097396822981308e-05,0
28,0.00016990582956717193,0
29,4.211176764632181e-05,0
30,6.452032379581999e-05,0
31,3.719669813940363e-05,0
32,6.222175488923435e-05,0
33,4.321732212902305e-05,0
34,4.999600726560767e-05,0
35,6.234654385039136e-05,0
36,0.0004005968770568188,0
37,7.193330213978013e-05,0
38,4.014924141678888e-05,0
39,2.62870871451504e-05,0
40,4.011272127144347e-05,0
41,4.2153426410951424e-05,0
42,7.347412670848181e-05,0
43,5.278298378613476e-05,0
44,7.502741652477634e-05,0
45,0.0002342149360583269,0
46,1.4531144325913815e-05,0
47,1.1814464615598074e-05,0
48,5.406741147996736e-05,0
49,2.7971208823845765e-05,0
50,3.030488746044073e-05,0
51,3.679748279304709e-05,0
52,4.557526413087785e-05,0
53,4.0579247267704514e-05,0
54,3.824049666136298e-05,0
55,6.360247347700335e-05,0
56,5.166217154139516e-05,0
57,3.6986901536209334e-05,0
58,3.8872061154906426e-05,0
59,5.48894605250952e-05,0
60,0.0005790446048322913,0
61,4.268479524463703e-05,0
62,4.103176013260929e-05,0
63,5.364185156902966e-05,0
64,1.7745624987979715e-05,0
65,4.998637704602606e-05,0
66,3.006122136406457e-05,0
67,6.650750389553239e-05,0
68,0.00014213522223347172,0
69,3.1348693531498105e-05,0
70,3.970438269228392e-05,0
71,1.8730330429293755e-05,0
72,1.803162553026516e-05,0
73,1.5237369278480575e-05,0
74,0.0007399447002797322,0
75,3.230558778684128e-05,0
76,0.00013259610132488527,0
77,3.954626379506812e-05,0
78,4.737554146282033e-05,0
79,4.8837312118845004e-05,0
80,4.889272850408198e-05,0
81,6.23797593966322e-05,0
82,4.550540951273565e-05,0
83,4.570783432087648e-05,0
84,0.00013965043782750676,0
85,0.0003434263486996175,0
86,3.648749015462356e-05,0
87,0.0004995655278566236,0
88,3.401167681829861e-05,0
89,7.0827425502221e-05,0
90,0.0004621415280009865,0
91,3.020554601104271e-05,0
92,3.742391457789296e-05,0
93,3.147890759751217e-05,0
94,3.7417976966000033e-05,0
95,0.00016180230197420615,0
96,4.2544711463042686e-05,0
97,3.85587825254632e-05,0
98,7.899111300143703e-05,0
99,6.720991962063187e-05,0
100,3.8407693594958106e-05,0
101,0.0001211813121604948,0
102,6.377088638574798e-05,0
103,8.471633075120406e-05,0
104,4.4000401516090476e-05,0
105,1.716389886762078e-05,0
106,4.8923388555369566e-05,0
107,0.00014708757823045363,0
108,3.4177105609731865e-05,0
109,4.132519123542601e-05,0
110,4.652300085424296e-05,0
111,0.0004731753157187002,0
112,8.125263144576639e-05,0
113,6.026694978445784e-05,0
114,5.428138060338044e-05,0
115,3.627355101826975e-05,0
116,4.403743906232333e-05,0
117,6.345826157941545e-05,0
118,0.00028084808631947597,0
119,1.9027743962968852e-05,0
120,5.091114971937741e-05,0
121,2.4488093544540962e-05,0
122,4.607425506400097e-05,0
123,6.002972397235624e-05,0
124,1.4315660155896771e-05,0
125,4.03691944214575e-05,0
126,5.661280568470409e-05,0
127,2.71246526598854e-05,0
128,7.885170989917057e-05,0
129,6.0768208359210255e-05,0
130,3.174822398118056e-05,0
131,4.281325937150711e-05,0
132,1.3300361779785918e-05,0
133,6.221844051949414e-05,0
134,3.367597347769819e-05,0
135,5.434141821985929e-05,0
136,5.7142541510682604e-05,0
137,1.7464504187461936e-05,0
138,8.531732923243763e-05,0
139,4.892269821037536e-05,0
140,7.609586806112563e-05,0
141,7.545512223641198e-05,0
142,0.00046522590350056494,0
143,4.72566947838231e-05,0
144,6.426687827963175e-05,0
145,6.528127268418986e-05,0
146,6.876170926876537e-05,0
147,0.00026208278128946863,0
148,5.584537154016125e-05,0
149,1.8893920515085597e-05,0
150,3.367232864009781e-05,0
151,0.00022785241434261782,0
152,6.013967151288135e-05,0
153,1.1785276787862625e-05,0
154,3.1583494140772746e-05,0
155,3.813716963486619e-05,0
156,3.772527357546544e-05,0
157,7.824326628188787e-05,0
158,0.00012351862279064908,0
159,5.67010576111954e-05,0
160,6.460971493102644e-05,0
161,2.955493666002253e-05,0
162,3.3454758117290545e-05,0
163,2.597988493338837e-05,0
164,4.869007974463728e-05,0
165,1.115264784833888e-05,0
166,8.507378725924573e-05,0
167,0.00012602338922153178,0
168,2.780766284522117e-05,0
169,4.819900041909047e-05,0
170,5.042176613035073e-05,0
171,3.91776224486776e-05,0
172,4.8740759117396477e-05,0
173,8.0959366214508e-05,0
174,2.6184692046252226e-05,0
175,0.00022665398902642467,0
176,0.002152883470527432,0
177,4.5030367244098685e-05,0
178,0.00028519535083065285,0
179,3.46967004676416e-05,0
180,4.533055279070516e-05,0
181,2.4089620316621585e-05,0
182,2.264911586446324e-05,0
183,0.0008855924113616321,0
184,1.853297453940292e-05,0
185,4.596524079138731e-05,0
186,2.7453649605886914e-05,0
187,0.00039991977408261836,0
188,5.970234146151841e-05,0
189,3.152662978978011e-05,0
190,0.00021051188345565984,0
191,8.49753060621842e-06,0
192,7.160338620050815e-05,0
193,3.371612139833412e-05,0
194,3.883338040322124e-05,0
195,1.4087751679755845e-05,0
196,3.116988230148764e-05,0
197,5.591659547505094e-05,0
198,5.469388985103324e-05,0
199,5.7526089828132675e-05,0
200,6.344149565598863e-05,0
201,3.8679300943943865e-05,0
202,0.00021035065219988358,0
203,0.0001685995655581423,0
204,0.00017938524180806799,0
205,4.740039645703752e-05,0
206,0.0006026831085239944,0
207,7.171363829720689e-05,0
208,4.021277326746203e-05,0
209,0.0001212344027359461,0
210,9.240591733091588e-05,0
211,2.2432099820775945e-05,0
212,6.865007239235032e-05,0
213,3.2887642504755385e-05,0
214,4.649683675553313e-05,0
215,6.021652615317673e-05,0
216,7.484467337508196e-05,0
217,0.00029825598472586117,0
218,0.0004196252391774793,0
219,3.882929692004699e-05,0
220,0.0001458618666928759,0
221,3.2623240492978494e-05,0
222,8.22943092906101e-05,0
223,0.00016720052094695777,0
224,2.231287957784748e-05,0
225,8.723335516121451e-05,0
226,1.693373313538854e-05,0
227,0.00023740458865631275,0
228,1.647398002684839e-05,0
229,0.00012962468845653855,0
230,0.00028569924666325323,0
231,0.000271180606461728,0
232,1.131858093930908e-05,0
233,0.0003889357981149811,0
234,6.619780497491613e-05,0
235,5.45282671433523e-05,0
236,8.429162205843632e-05,0
237,0.0006055192807681903,0
238,7.266232590963926e-05,0
239,7.863930041448728e-05,0
240,4.034237558177985e-05,0
241,5.545530443384032e-05,0
242,4.043301541348017e-05,0
243,3.572403894945916e-05,0
244,7.055086030679608e-05,0
245,5.5013803235085904e-05,0
246,5.6584574531312295e-05,0
247,0.0007924661841338828,0
248,3.746504934810825e-05,0
249,0.00011727834329569592,0
250,4.703467265723093e-05,0
251,4.747013733493001e-05,0
252,0.00014267551585347749,0
253,0.0001483746521108861,0
254,0.00012033501257762566,0
255,0.0001801950701888673,0
256,6.4542860855284e-05,0
257,4.2077323000327586e-05,0
258,8.207179200065822e-06,0
259,9.968188066896752e-05,0
260,0.00023371195842447544,0
261,0.00011547123553531416,0
262,0.00032675117045995693,0
263,3.2536848513994176e-05,0
264,0.0008227865761589268,0
265,4.5134796485153336e-05,0
266,4.910937790890281e-05,0
267,4.9095880868022306e-05,0
268,3.88522943776532e-05,0
269,2.967249446941855e-05,0
270,0.0005099687909614651,0
271,6.907721751604796e-05,0
272,5.0807978396219534e-05,0
273,5.448203044864073e-05,0
274,0.00014203163397121999,0
